OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-31654,2024-098A,2026-02-07T11:47:58.938432,15.27569018,.000105,43.0005,81.1074,185.4178,174.6662,0,U,59858,999,9730,-.312448E-4,-.1121E-4,0
STARLINK-31442,2024-098B,2026-02-07T04:08:16.464192,15.27567313,.00005761,43.0003,94.2349,204.2628,155.8196,0,U,59859,999,9713,.16009735E-3,.4145E-4,0
STARLINK-31651,2024-098C,2026-02-07T03:17:09.119904,15.27585166,.00012951,43.0035,90.5306,209.9801,150.0977,0,U,59860,999,9717,.560241E-6,-.247E-5,0
STARLINK-31584,2024-098E,2026-02-07T04:36:27.923040,15.27607722,.0000895,43.0069,90.0900,285.9060,74.1693,0,U,59862,999,9718,.14282769E-3,.3673E-4,0
STARLINK-31950,2024-098F,2026-02-07T05:02:24.743904,15.27585885,.0000986,43.0021,90.2172,210.0131,150.0664,0,U,59863,999,9718,-.39975E-5,-.372E-5,0
STARLINK-31931,2024-098G,2026-02-07T11:44:56.520384,15.27583626,.00009023,42.9997,88.8763,280.9435,79.1315,0,U,59864,999,9722,-.44044314E-4,-.1474E-4,0
STARLINK-31938,2024-098H,2026-02-07T10:38:19.283136,15.27588202,.00008879,43.0003,88.5227,282.5259,77.5493,0,U,59865,999,9722,.40545778E-4,.854E-5,0
STARLINK-31941,2024-098J,2026-02-07T11:00:14.069952,15.27576313,.00005047,43.0000,70.9798,246.1102,113.9697,0,U,59866,999,9742,-.10770505E-4,-.558E-5,0
STARLINK-31952,2024-098K,2026-02-07T11:24:34.835616,15.27585752,.00015163,43.0015,88.7691,275.7671,84.3008,0,U,59867,999,9722,.669005E-6,-.244E-5,0
STARLINK-31921,2024-098L,2026-02-07T10:19:39.098496,15.27571811,.00010005,43.0018,48.5268,255.1021,104.9720,0,U,59868,999,9767,-.22972851E-4,-.894E-5,0
STARLINK-31760,2024-098M,2026-02-07T03:48:36.961632,15.27571268,.00002658,42.9992,90.6883,200.9852,159.0989,0,U,59869,999,9717,.4719486E-4,.1037E-4,0
STARLINK-31945,2024-098N,2026-02-07T11:38:01.411584,15.27579594,.0000885,43.0001,84.5144,240.6263,119.4500,0,U,59870,999,9727,-.44155447E-4,-.1477E-4,0
STARLINK-31937,2024-098P,2026-02-07T11:05:36.690144,15.27612763,.00009977,43.0009,81.7460,302.5538,57.5217,0,U,59871,999,9730,.15063755E-3,.3889E-4,0
STARLINK-31940,2024-098R,2026-02-07T11:27:36.984960,15.27576912,.00006132,42.9987,81.0015,283.0879,76.9905,0,U,59873,999,9731,-.52719769E-4,-.1712E-4,0
STARLINK-31933,2024-098S,2026-02-07T04:45:45.945216,15.27575102,.00017974,43.0057,90.1353,284.7865,75.2787,0,U,59874,999,9718,-.246887E-5,-.33E-5,0
STARLINK-31936,2024-098T,2026-02-06T11:30:28.540800,15.27576477,.00010632,43.0007,61.9200,281.0055,79.0677,0,U,59875,999,9743,-.15554176E-3,-.4539E-4,0
STARLINK-31935,2024-098U,2026-02-07T11:33:50.342688,15.27638029,.00012889,42.9979,88.8142,269.4880,90.5824,0,U,59876,999,9722,.13812335E-2,.3801E-3,0
STARLINK-31934,2024-098V,2026-02-07T02:50:06.130464,15.27570433,.00027709,43.0086,86.9284,285.7966,74.2581,0,U,59877,999,9721,.73744391E-4,.1766E-4,0
STARLINK-31943,2024-098W,2026-02-07T10:37:50.814336,15.27574545,.00006572,42.9992,92.8463,259.3900,100.6878,0,U,59878,999,9652,.12585436E-4,.85E-6,0
STARLINK-31926,2024-098X,2026-02-07T03:50:35.433312,15.27590768,.00012579,43.0039,79.9083,273.7997,86.2711,0,U,59879,999,9729,-.25522646E-4,-.965E-5,0
STARLINK-31919,2024-098Y,2026-02-07T04:56:51.478368,15.27590683,.00012612,43.0009,90.1858,178.5121,181.5735,0,U,59880,999,9718,-.11096111E-3,-.3315E-4,0
PREFIRE-2,2024-099A,2026-02-07T13:19:30.220032,15.19972023,.0011163,97.4235,256.8511,304.4228,55.5952,0,U,59881,999,9443,.26938E-3,.5738E-4,0
STARLINK-31974,2024-100A,2026-02-07T03:11:24.323424,15.27563696,.00008353,42.9990,297.9692,315.0220,45.0564,0,U,59885,999,9638,-.76843968E-4,-.2375E-4,0
STARLINK-31975,2024-100B,2026-02-07T01:40:57.796896,15.27554880,.00013166,43.0008,298.3565,345.0319,15.0494,0,U,59886,999,9647,-.25961808E-4,-.976E-5,0
STARLINK-31976,2024-100C,2026-02-06T02:59:38.158944,15.27607688,.00011846,43.0028,307.5928,232.3738,127.7007,0,U,59887,999,9628,.16644925E-4,.196E-5,0
STARLINK-31965,2024-100D,2026-02-07T03:31:43.140576,15.27579649,.0004349,42.9982,298.0710,248.6292,111.4096,0,U,59888,999,9638,.1574047E-2,.43315E-3,0
STARLINK-31969,2024-100E,2026-02-07T01:34:13.907136,15.27564456,.00010718,43.0008,294.8628,282.8065,77.2667,0,U,59889,999,9651,-.85616267E-4,-.2616E-4,0
STARLINK-31951,2024-100F,2026-02-07T02:49:11.905824,15.27562878,.00011309,43.0007,297.8532,323.3589,36.7185,0,U,59890,999,9638,-.10252088E-3,-.308E-4,0
STARLINK-31949,2024-100G,2026-02-06T01:59:16.719360,15.27567346,.0001004,43.0001,303.8382,279.1735,80.9003,0,U,59891,999,9622,.35317477E-3,.9465E-4,0
STARLINK-31977,2024-100H,2026-02-07T01:03:27.686880,15.27577109,.00015297,43.0021,291.2330,255.6571,104.4111,0,U,59892,999,9655,-.38661107E-4,-.1326E-4,0
STARLINK-31963,2024-100J,2026-02-07T01:52:01.793856,15.27564531,.00028385,43.0017,298.4083,256.8496,103.2039,0,U,59893,999,9647,-.11678352E-3,-.3474E-4,0
STARLINK-31961,2024-100K,2026-02-07T01:29:22.246656,15.27497624,.00013587,43.0005,291.3674,212.2993,147.7776,0,U,59894,999,9655,.40016466E-3,.10738E-3,0
STARLINK-31964,2024-100L,2026-02-07T02:34:23.574720,15.27545947,.00011848,43.0024,297.7710,267.5179,92.5537,0,U,59895,999,9643,.15483395E-4,.164E-5,0
STARLINK-31905,2024-100M,2026-02-07T01:49:02.260704,15.27556732,.00019911,42.9973,294.9337,242.0692,117.9958,0,U,59896,999,9651,-.10808895E-3,-.3233E-4,0
STARLINK-31928,2024-100N,2026-02-07T02:08:42.298080,15.27556370,.00002678,43.0000,298.4993,232.9415,127.1412,0,U,59897,999,9637,-.13498153E-3,-.3971E-4,0
STARLINK-31953,2024-100P,2026-02-07T03:17:38.633280,15.27558738,.00017826,42.9992,294.5392,257.6132,102.4520,0,U,59898,999,9652,-.11070352E-3,-.3305E-4,0
STARLINK-31942,2024-100Q,2026-02-07T01:20:34.791072,15.27554339,.00020381,43.0007,298.2456,245.6917,114.3722,0,U,59899,999,9646,-.20115955E-4,-.815E-5,0
STARLINK-31676,2024-100R,2026-02-07T22:10:22.333440,15.27714659,.00022226,43.0003,293.5753,202.8749,157.2004,0,U,59900,999,9649,.2661367E-3,.7098E-4,0
STARLINK-31908,2024-100S,2026-02-07T01:23:49.317216,15.27549875,.00011677,43.0022,291.3388,253.1264,106.9459,0,U,59901,999,9654,.804312E-5,-.41E-6,0
STARLINK-31914,2024-100T,2026-02-06T02:30:45.673920,15.27583328,.00008485,42.9996,304.0066,30.9277,329.1625,0,U,59902,999,9621,.66061394E-4,.1556E-4,0
STARLINK-31850,2024-100U,2026-02-07T02:41:45.608352,15.27560055,.00031317,43.0004,297.8002,249.9009,110.1506,0,U,59903,999,9642,-.31715337E-4,-.1135E-4,0
STARLINK-31924,2024-100V,2026-02-07T01:26:06.881568,15.27576745,.00017196,43.0039,298.2769,265.5587,94.5068,0,U,59904,999,9646,-.20739693E-4,-.833E-5,0
STARLINK-31898,2024-100W,2026-02-07T03:13:55.987392,15.27558855,.00005498,43.0004,294.5179,318.4168,41.6642,0,U,59905,999,9651,-.1218327E-3,-.361E-4,0
STARLINK-31861,2024-100X,2026-02-06T01:44:02.567616,15.27564679,.00025999,43.0078,296.8070,267.9683,92.0871,0,U,59906,999,9639,-.10146347E-3,-.3053E-4,0
STARLINK-31920,2024-100Y,2026-02-07T00:10:51.434400,15.27566953,.00014601,42.9992,266.2309,238.2381,121.8329,0,U,59907,999,9682,-.4198709E-4,-.1417E-4,0
EARTHCARE,2024-101A,2026-02-07T21:01:25.691520,15.57011875,.0001829,97.0338,167.0691,93.7280,266.4186,0,U,59908,999,9644,.223366E-3,.16037E-3,0
TIANQI-25,2024-102A,2026-02-07T17:04:16.676832,13.99118381,.00102112,44.9768,118.0687,342.4453,17.6025,0,U,59909,999,8677,.26359114E-3,.256E-5,0
TIANQI-26,2024-102B,2026-02-07T16:39:02.262816,13.99129661,.00089679,44.9731,117.7876,345.4670,14.5904,0,U,59910,999,8677,.26788156E-3,.262E-5,0
TIANQI-27,2024-102C,2026-02-07T17:27:50.990400,13.99119542,.00057794,44.9778,117.4718,352.8366,7.2383,0,U,59911,999,8677,.2713901E-3,.267E-5,0
TIANQI-28,2024-102D,2026-02-07T16:13:16.643712,13.99114437,.00104472,44.9784,117.9321,353.4964,6.5731,0,U,59912,999,8676,.26967223E-3,.265E-5,0
PAKSAT-MM1,2024-104A,2026-02-07T22:00:41.654592,1.00274040,.00035137,0.0102,124.1945,191.2230,190.9653,0,U,59915,999,623,0,.159E-5,0
2024-105A,2024-105A,2026-02-07T23:08:36.780576,15.16249353,.00122772,97.5918,54.1193,321.9840,38.0525,0,U,59917,999,9344,.20660522E-3,.3934E-4,0
2024-105B,2024-105B,2026-02-07T22:54:10.503072,15.16532324,.00118499,97.5911,54.0751,342.5129,17.5694,0,U,59918,999,9344,.74416938E-3,.14484E-3,0
2024-105C,2024-105C,2026-02-07T23:05:09.621888,15.18931181,.00112069,97.5874,55.3837,320.7309,39.3111,0,U,59919,999,9354,.27278144E-3,.5635E-4,0
2024-105D,2024-105D,2026-02-07T22:56:19.093056,15.20974489,.00106781,97.5922,56.7937,317.1623,42.8779,0,U,59920,999,9360,.37501649E-3,.8253E-4,0
2024-105E,2024-105E,2026-02-07T23:03:28.603872,15.18682995,.00112243,97.5885,55.2840,320.4735,39.5680,0,U,59921,999,9353,.27028009E-3,.5543E-4,0
STARLINK-31872,2024-106A,2026-02-06T19:01:53.411520,15.27572964,.00009995,42.9972,147.3437,231.5461,128.5301,0,U,59922,999,9583,-.2726785E-4,-.1012E-4,0
STARLINK-31972,2024-106B,2026-02-07T07:09:13.550400,15.27583619,.0001282,42.9988,144.2537,220.7526,139.3230,0,U,59923,999,9592,.41985E-4,.894E-5,0
STARLINK-31958,2024-106C,2026-02-07T07:19:13.816992,15.27581920,.0001002,43.0020,129.6027,240.9280,119.1471,0,U,59924,999,9604,-.35196E-4,-.123E-4,0
STARLINK-31959,2024-106D,2026-02-07T14:16:18.439104,15.27574176,.0000765,43.0024,138.6466,262.2682,97.8083,0,U,59925,999,9596,-.28739E-4,-.1052E-4,0
STARLINK-31957,2024-106E,2026-02-07T07:51:35.038368,15.27594544,.0000342,42.9961,143.6230,64.6013,295.4874,0,U,59926,999,9593,-.17557E-3,-.5092E-4,0
